Results_Name,VSPAERO_History
Results_Timestamp,1723271121
Results_Date,8,10,2024
Results_Time,11,55,21
Alpha,-5.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,6.581856003999999628e-03,6.380074303000000426e-03,6.439562708000000010e-03,6.546574391999999618e-03,6.517714699000000216e-03,6.466795063999999753e-03,6.417718147000000053e-03,6.461333472000000376e-03
CDo,1.005303555700000004e-02,1.004111848699999927e-02,1.004485841700000076e-02,1.004971388799999997e-02,1.004691152000000004e-02,1.004299668099999966e-02,1.004160770600000079e-02,1.004565651899999926e-02
CDt,7.431858484999999750e-03,6.401483460000000243e-03,6.104818750999999738e-03,6.358802793000000071e-03,6.560371897999999619e-03,6.545750981999999898e-03,6.209808578000000114e-03,6.173353496999999662e-03
CDtot,1.663489156099999880e-02,1.642119279000000057e-02,1.648442112499999904e-02,1.659628828099999828e-02,1.656462621900000112e-02,1.650979174499999855e-02,1.645932585300000084e-02,1.650698999100000050e-02
CDtott,1.748489404200000152e-02,1.644260194700000038e-02,1.614967716899999919e-02,1.640851668100000091e-02,1.660728341799999966e-02,1.658874766200000087e-02,1.625141628299999960e-02,1.621901001599999892e-02
CFx,2.231110573900000130e-02,2.228028363600000061e-02,2.228518574600000038e-02,2.230589186299999915e-02,2.219173791699999981e-02,2.222314151299999846e-02,2.226518114500000006e-02,2.228771764599999858e-02
CFxi,1.226765447800000006e-02,1.224861205699999921e-02,1.224967160499999992e-02,1.226540410400000017e-02,1.215386970000000011e-02,1.218911456400000037e-02,1.223264794300000027e-02,1.225123298299999990e-02
CFxo,1.004345126099999951e-02,1.003167157899999967e-02,1.003551414100000046e-02,1.004048775900000072e-02,1.003786821599999927e-02,1.003402694899999982e-02,1.003253320199999979e-02,1.003648466300000042e-02
CFy,-7.417723339999999924e-04,-4.144206479999999922e-04,-1.777846570000000080e-04,4.254194000000000286e-05,2.003201490000000075e-04,1.754865100000000018e-04,1.001251670000000046e-04,1.566030779999999913e-04
CFyi,-7.441707620000000438e-04,-4.154003719999999913e-04,-1.783325199999999952e-04,4.235999300000000187e-05,2.002474580000000086e-04,1.756204699999999947e-04,9.998336299999999427e-05,1.564447170000000031e-04
CFyo,2.398428000000000121e-06,9.797239999999999392e-07,5.478630000000000136e-07,1.819470000000000079e-07,7.269099999999999889e-08,-1.339589999999999887e-07,1.418029999999999894e-07,1.583609999999999977e-07
CFz,6.415312987900000097e-02,6.625275006000000411e-02,6.558331764800000296e-02,6.453645798099999498e-02,6.359495381599999941e-02,6.458305359700000636e-02,6.564259996599999814e-02,6.535330870500000167e-02
CFzi,6.470160390300000453e-02,6.679913340800000543e-02,6.612869120099999776e-02,6.508069310599999546e-02,6.413697688099999350e-02,6.512406480000000608e-02,6.618474807400000215e-02,6.589674633000000559e-02
CFzo,-5.484740239999999793e-04,-5.463833480000000221e-04,-5.453735529999999970e-04,-5.442351239999999478e-04,-5.420230650000000495e-04,-5.410112030000000438e-04,-5.421481080000000027e-04,-5.434376250000000179e-04
CL,6.585354884400000663e-02,6.794249301299999655e-02,6.727603524099999566e-02,6.623496384799999748e-02,6.528709321799999743e-02,6.627416998500000600e-02,6.733334845499999721e-02,6.704712222000000499e-02
CLi,6.552459130399999887e-02,6.761247941999999622e-02,6.694468079300000540e-02,6.590204182499999341e-02,6.495219586200000339e-02,6.593859940500000627e-02,6.699904064299999629e-02,6.671375462600000195e-02
CLo,3.289575400000000122e-04,3.300135930000000018e-04,3.313544470000000155e-04,3.329220229999999979e-04,3.348973560000000028e-04,3.355705800000000007e-04,3.343078120000000041e-04,3.333675940000000067e-04
CMx,9.712808900000000599e-05,3.881510000000000044e-05,-2.447060999999999812e-06,-9.284910000000000521e-07,-2.100287800000000162e-05,-3.938416900000000337e-05,-3.410472800000000223e-05,-1.720230499999999996e-05
CMxi,9.745941599999999436e-05,3.897460799999999972e-05,-2.383346999999999934e-06,-8.818149999999999589e-07,-2.098832499999999865e-05,-3.939412299999999904e-05,-3.410638399999999881e-05,-1.718995499999999998e-05
CMxo,-3.313270000000000128e-07,-1.595080000000000013e-07,-6.371399999999999732e-08,-4.667600000000000053e-08,-1.455299999999999969e-08,9.953999999999999334e-09,1.654999999999999972e-09,-1.235099999999999923e-08
CMy,6.828157596630000103e-01,6.465707094879999950e-01,6.521151932219999559e-01,6.548729164990000351e-01,6.535002358710000347e-01,6.519747325639999591e-01,6.508189239889999866e-01,6.524370074030000355e-01
CMyi,6.744604836499999978e-01,6.382321552190000080e-01,6.437813356549999533e-01,6.465441395280000503e-01,6.451788497979999981e-01,6.436579979550000052e-01,6.425001694409999686e-01,6.441132969289999899e-01
CMyo,8.355276014000000834e-03,8.338554269000000851e-03,8.333857567000000841e-03,8.328776970000000002e-03,8.321386073000000203e-03,8.316734609000000708e-03,8.318754548000000665e-03,8.323710474000000498e-03
CMz,-3.165887770000000109e-04,-1.651887310000000112e-04,-7.682379999999999450e-05,1.200950000000000081e-05,6.874043799999999388e-05,6.250384699999999801e-05,3.718523800000000164e-05,4.649537600000000313e-05
CMzi,-3.176640999999999796e-04,-1.656050579999999962e-04,-7.710113099999999756e-05,1.195798099999999938e-05,6.874164700000000121e-05,6.252554799999999417e-05,3.710416500000000053e-05,4.645846300000000127e-05
CMzo,1.075323000000000106e-06,4.163280000000000206e-07,2.773309999999999837e-07,5.151899999999999963e-08,-1.209999999999999957e-09,-2.170200000000000137e-08,8.107300000000000076e-08,3.691300000000000105e-08
CS,-7.417723339999999924e-04,-4.144206479999999922e-04,-1.777846570000000080e-04,4.254194000000000286e-05,2.003201490000000075e-04,1.754865100000000018e-04,1.001251670000000046e-04,1.566030779999999913e-04
CSi,-7.441707620000000438e-04,-4.154003719999999913e-04,-1.783325199999999952e-04,4.235999300000000187e-05,2.002474580000000086e-04,1.756204699999999947e-04,9.998336299999999427e-05,1.564447170000000031e-04
CSo,2.398428000000000121e-06,9.797239999999999392e-07,5.478630000000000136e-07,1.819470000000000079e-07,7.269099999999999889e-08,-1.339589999999999887e-07,1.418029999999999894e-07,1.583609999999999977e-07
E,1.702789587599999946e-02,1.870375085600000167e-02,1.816671882299999985e-02,1.731746642899999883e-02,1.689635597799999875e-02,1.755056325399999978e-02,1.825817011700000062e-02,1.798081330400000052e-02
FC_AoA_,-5.000000000000000000e+00
FC_Beta_,0.000000000000000000e+00
FC_Bref_,7.225000000000000000e+01
FC_Cref_,5.924999999999999822e+00
