Results_Name,VSPAERO_History
Results_Timestamp,1723223442
Results_Date,8,9,2024
Results_Time,22,40,42
Alpha,-5.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00,-5.000000000000000000e+00
AnalysisMethod,0
Beta,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
CDi,6.651357307000000177e-03,6.455116833999999595e-03,6.517120175000000112e-03,6.630824119000000398e-03,6.614469367000000259e-03,6.565912852000000202e-03,6.520328292000000282e-03,6.563705058000000175e-03
CDo,1.005940100800000077e-02,1.004729855100000048e-02,1.005078540100000015e-02,1.005574431299999932e-02,1.005314788000000008e-02,1.004926777500000055e-02,1.004779165900000076e-02,1.005192856300000069e-02
CDt,7.524107991000000308e-03,6.489213223000000162e-03,6.189252842999999789e-03,6.443225159999999702e-03,6.638827560000000287e-03,6.627857031000000329e-03,6.288793669999999912e-03,6.253082584000000353e-03
CDtot,1.671075831399999878e-02,1.650241538500000008e-02,1.656790557599999852e-02,1.668656843299999928e-02,1.666761724699999947e-02,1.661518062599999859e-02,1.656811995100000018e-02,1.661563362000000044e-02
CDtott,1.758350899899999847e-02,1.653651177499999847e-02,1.624003824399999907e-02,1.649896947299999903e-02,1.669197543999999950e-02,1.667712480600000088e-02,1.633658532900000154e-02,1.630501114600000148e-02
CFx,2.244343839200000149e-02,2.241920373399999833e-02,2.242969410600000046e-02,2.245716516099999921e-02,2.235329450900000112e-02,2.239037315200000100e-02,2.243904608599999947e-02,2.246013200000000071e-02
CFxi,1.239359597599999988e-02,1.238131712599999969e-02,1.238821628600000023e-02,1.241061858600000026e-02,1.230915791900000049e-02,1.235005692500000009e-02,1.240030637799999919e-02,1.241735346800000063e-02
CFxo,1.004984241599999988e-02,1.003788660699999995e-02,1.004147782000000023e-02,1.004654657500000069e-02,1.004413659000000063e-02,1.004031622799999961e-02,1.003873970800000029e-02,1.004277853200000008e-02
CFy,-4.995430160000000151e-04,-2.413985090000000076e-04,-2.457912799999999978e-05,1.324108679999999887e-04,1.103073299999999954e-04,1.310910620000000054e-04,2.229024149999999965e-04,2.716981979999999811e-04
CFyi,-5.021805949999999736e-04,-2.424954249999999975e-04,-2.516112500000000044e-05,1.322565630000000023e-04,1.100061020000000025e-04,1.308033019999999870e-04,2.225482710000000126e-04,2.713363549999999965e-04
CFyo,2.637579999999999826e-06,1.096917000000000081e-06,5.819970000000000200e-07,1.543050000000000043e-07,3.012280000000000024e-07,2.877610000000000050e-07,3.541440000000000244e-07,3.618429999999999930e-07
CFz,6.479522566100000269e-02,6.690868927000000188e-02,6.627717910699999770e-02,6.522967111600000423e-02,6.425986459700000486e-02,6.528531817799999859e-02,6.638161304799999884e-02,6.607746793400000318e-02
CFzi,6.534368379100000124e-02,6.745494280600000669e-02,6.682239200900000342e-02,6.577384501999999911e-02,6.480179402699999536e-02,6.582639533600000148e-02,6.692377337299999784e-02,6.662092993899999815e-02
CFzo,-5.484581299999999543e-04,-5.462535360000000430e-04,-5.452129019999999706e-04,-5.441739039999999748e-04,-5.419294300000000383e-04,-5.410771579999999617e-04,-5.421603239999999791e-04,-5.434620049999999616e-04
CL,6.650473480799999615e-02,6.860804385999999533e-02,6.797985108100000617e-02,6.693872343300000249e-02,6.596355439699999601e-02,6.698833743500000326e-02,6.808470269800000196e-02,6.778355270600000537e-02
CLi,6.617520440900000189e-02,6.827735927399999905e-02,6.764781682499999838e-02,6.660521236300000203e-02,6.562801743700000245e-02,6.665228441199999576e-02,6.774986612300000488e-02,6.744966085200000683e-02
CLo,3.295303990000000025e-04,3.306845860000000238e-04,3.320342549999999969e-04,3.335110699999999768e-04,3.355369600000000069e-04,3.360530220000000233e-04,3.348365750000000104e-04,3.338918540000000083e-04
CMx,3.075004400000000242e-05,-2.938530899999999930e-05,-6.470860199999999788e-05,-4.804046800000000105e-05,-6.040120300000000189e-05,-8.751034000000000417e-05,-9.342894799999999376e-05,-7.629364200000000580e-05
CMxi,3.111815600000000266e-05,-2.921112299999999845e-05,-6.463691100000000121e-05,-4.798823299999999933e-05,-6.035016899999999881e-05,-8.747557099999999372e-05,-9.339500200000000159e-05,-7.624824699999999469e-05
CMxo,-3.681119999999999812e-07,-1.741859999999999955e-07,-7.169100000000000317e-08,-5.223499999999999757e-08,-5.103500000000000006e-08,-3.476899999999999853e-08,-3.394599999999999837e-08,-4.539499999999999720e-08
CMy,5.137582187620999719e+00,5.028086014144999893e+00,5.034324338005999877e+00,5.035610610742000226e+00,5.050182749666999982e+00,5.035780083817000374e+00,5.035868892073000147e+00,5.038020700785000194e+00
CMyi,5.129223583089999927e+00,5.019744899946999794e+00,5.025988478101999668e+00,5.027279410754999844e+00,5.041858841604000219e+00,5.027460204386000164e+00,5.027547481197999879e+00,5.029694130172000399e+00
CMyo,8.358604530999999560e-03,8.341114198000000243e-03,8.335859903999999140e-03,8.331199987000000029e-03,8.323908062000000274e-03,8.319879431000000089e-03,8.321410875000000845e-03,8.326570612999999871e-03
CMz,1.537801459999999941e-04,3.170088860000000084e-04,3.755608939999999945e-04,3.282622089999999871e-04,4.491113150000000187e-04,4.995798920000000089e-04,5.251176150000000029e-04,5.276941220000000475e-04
CMzi,1.525850250000000121e-04,3.165372380000000064e-04,3.752555170000000054e-04,3.282038770000000210e-04,4.489844299999999990e-04,4.994069309999999481e-04,5.249216460000000455e-04,5.275596059999999995e-04
CMzo,1.195120999999999945e-06,4.716489999999999904e-07,3.053770000000000219e-07,5.833299999999999698e-08,1.268849999999999877e-07,1.729610000000000094e-07,1.959689999999999994e-07,1.345160000000000115e-07
CS,-4.995430160000000151e-04,-2.413985090000000076e-04,-2.457912799999999978e-05,1.324108679999999887e-04,1.103073299999999954e-04,1.310910620000000054e-04,2.229024149999999965e-04,2.716981979999999811e-04
CSi,-5.021805949999999736e-04,-2.424954249999999975e-04,-2.516112500000000044e-05,1.322565630000000023e-04,1.100061020000000025e-04,1.308033019999999870e-04,2.225482710000000126e-04,2.713363549999999965e-04
CSo,2.637579999999999826e-06,1.096917000000000081e-06,5.819970000000000200e-07,1.543050000000000043e-07,3.012280000000000024e-07,2.877610000000000050e-07,3.541440000000000244e-07,3.618429999999999930e-07
E,1.718624605799999941e-02,1.885167940000000153e-02,1.832958204299999991e-02,1.746423823399999992e-02,1.699746991099999882e-02,1.766182935800000159e-02,1.837587978500000024e-02,1.809302585799999960e-02
FC_AoA_,-5.000000000000000000e+00
FC_Beta_,0.000000000000000000e+00
FC_Bref_,7.225000000000000000e+01
FC_Cref_,5.924999999999999822e+00
