"report-file-3"
"Iteration" "drag"
("Iteration" "drag")
1 6597.578144167153
2 6987.333692781888
3 6801.694623249713
4 6434.58614947556
5 6041.113446001745
6 5739.812748661359
7 5512.938092994389
8 5371.16146647824
9 5323.296150271955
10 5282.141537983387
11 5263.314826203808
12 5260.98480414012
13 5268.50114549115
14 5274.67501103941
15 5287.808548585502
16 5302.954733387458
17 5317.536719584889
18 5330.911691723522
19 5342.202236431233
20 5351.728130085899
21 5359.4422853632
22 5365.911705455367
23 5371.215147807565
24 5375.736761834774
25 5379.469749859242
26 5382.631837586889
27 5385.169281182855
28 5387.295354729725
29 5388.960451524501
30 5390.366308900795
31 5391.466182906055
32 5392.409811448872
33 5393.144275626205
34 5393.802917208563
35 5394.327045864479
36 5394.814368165632
37 5395.206300190627
38 5395.584270956643
39 5395.886909516849
40 5396.190853263498
41 5396.422490750813
42 5396.672966082575
43 5396.871846691421
44 5397.090334732611
45 5397.259228664145
46 5397.456487447223
47 5397.610355029827
48 5397.777556452357
49 5397.901990331492
50 5398.032305541165
51 5398.127702151255
52 5398.22355932882
53 5398.291760109485
54 5398.351371905721
55 5398.393853693266
56 5398.423573479284
57 5398.441473274736
58 5398.445574820863
59 5398.45077017056
60 5398.451959865244
61 5398.463571598728
62 5398.464416755261
63 5398.481534995699
64 5398.491458643928
65 5398.528063712122
66 5398.548456120426
67 5398.594634667022
68 5398.616191449132
69 5398.665937524181
70 5398.687737636084
71 5398.738027065186
72 5398.756717480014
73 5398.789783479728
74 5398.78353497413
75 5398.798205894946
76 5398.781931630729
77 5398.797759333087
78 5398.783261465907
79 5398.799666561605
80 5398.785850133696
81 5398.798097529495
82 5398.772990430501
83 5398.768257016307
84 5398.727891956417
85 5398.711579893405
86 5398.658006346054
87 5398.626192346061
88 5398.564675106998
89 5398.534577538081
90 5398.487374103635
91 5398.47298379676
92 5398.438959641943
93 5398.435370422636
94 5398.409807809425
95 5398.417888627037
96 5398.406158067613
97 5398.427496935015
98 5398.426397150122
99 5398.465647000808
100 5398.477344109358
